linkRF11,SwitchBinPlacer,0.95576,0.9123,0.897,0.934,0.955,0.8804
linkErrRF11,SwitchBinPlacer,0.06632,0.05448,0.07618,0.0552,0.0426,0.0926
cpuRF11,SwitchBinPlacer,0.33334,0.37558,0.74654,0.79798,0.50138,0.98326
cpuErrRF11,SwitchBinPlacer,0.01914,0.04236,0.01246,0.02138,0.01784,0.0114
httpRF11,SwitchBinPlacer,0.31588,0.59606,0.76302,0.75396,0.70702,0.77006,0.71294,0.75118,0.66784,0.72888,0.67322,0.71594,0.72506,0.7317,0.75932,0.70188,0.7323,0.69684,0.72504,0.84614,0.78676,0.69604,0.66806,0.7181,0.5998,0.66706,0.62506,0.747,0.65582,0.82622,0.75006,0.82074,0.86618,0.84922,0.75392,0.8808,1.07518,0.94914,0.83474,0.83086,0.8081,0.85996,0.89,0.67612,0.70996,0.6628,0.6711,0.6701,0.733,0.66286,0.80918,0.77902,0.81594,0.7259,0.75818,0.74592,0.82488,0.6842,0.69174,0.85408,0.66504,0.55592,0.36204,0.3479,0.39306,0.38898,0.36912,0.37392,0.34406,0.36998,0.34504,0.37294,0.40508,0.39496,0.40588,0.42308,0.43796,0.458,0.41604,0.4429,0.59622,0.42494,0.37894,0.4079,0.47294,0.41214,0.46306,0.42198,0.41196,0.39988,0.3861,0.42296,0.4629,0.52514,0.41896,0.46594,0.46802,0.45098,0.49304,0.52112,0.53698,0.53084,0.52906,0.46702,0.48008,0.41186,0.42408,0.40812,0.4569,0.455,0.51692,0.4781,0.60098,0.61296
#
linkRF11,MAX_CPU,0.89792,0.92748,0.88926,0.9392,0.90748,0.89926
linkErrRF11,MAX_CPU,0.11476,0.04738,0.0492,0.03476,0.04138,0.0402
cpuRF11,MAX_CPU,0.65218,0.45484,0.84176,0.53224,0.63426,0.49786
cpuErrRF11,MAX_CPU,0.03834,0.03302,0.02046,0.0161,0.01456,0.01872
httpRF11,MAX_CPU,0.5687,0.697,0.80692,0.91608,0.96918,0.98594,1.01204,0.83578,0.91812,0.96806,0.93486,0.94008,0.90018,0.89972,0.95714,0.86992,0.91508,0.98398,0.97288,0.9964,0.97062,0.91706,0.90002,0.85714,0.98406,0.88096,0.99606,1.0737,1.00226,0.9558,0.9812,0.96802,1.034,0.98274,0.95226,1.04788,1.08574,0.9792,0.93232,0.9806,0.96108,0.97892,0.99612,0.9819,0.9891,0.96692,0.96418,0.91474,0.95928,0.9408,0.97114,1.0081,0.95992,1.00716,0.95988,1.06482,1.01914,0.93976,0.97324,0.94486,0.41302,0.158,0.154,0.20206,0.228,0.205,0.19698,0.18304,0.19508,0.16292,0.17004,0.17294,0.20198,0.22104,0.244,0.21594,0.23,0.231,0.25396,0.24492,0.23302,0.252,0.23902,0.23898,0.242,0.29506,0.25096,0.246,0.28596,0.29806,0.25496,0.2611,0.2869,0.27904,0.25808,0.31996,0.30896,0.35198,0.30898,0.32306,0.32296,0.3141,0.342,0.35702,0.28898,0.28494,0.32506,0.35992,0.36402,0.42902,0.47614,0.41402,0.46786,0.44504,0.43796
#
linkRF11,MAX_CPU_N,0.90746,0.92782,0.90256,0.91746,0.93782,0.89256
linkErrRF11,MAX_CPU_N,0.05104,0.04782,0.08718,0.03104,0.05782,0.06718
cpuRF11,MAX_CPU_N,0.52542,0.45418,0.92994,0.39324,0.37912,0.75496
cpuErrRF11,MAX_CPU_N,0.03594,0.03244,0.0083,0.0175,0.01984,0.00742
httpRF11,MAX_CPU_N,0.7416,0.80994,0.85984,0.92148,0.99862,0.87908,0.96192,0.91886,0.98606,0.83704,0.97318,0.90806,0.93966,0.84332,1.00684,0.91792,0.87898,1.01796,1.00518,0.92786,0.95298,0.88906,0.90708,0.85314,0.9938,0.92196,1.04106,1.02908,0.97108,0.96676,0.98116,1.0089,1.01394,0.91802,0.98216,0.9346,1.11904,0.9605,0.89574,0.97006,0.94884,0.95322,1.00878,0.96802,0.96118,0.99366,0.96522,0.97104,0.94306,0.96306,0.939,1.012,0.96974,0.99836,1.00098,1.02486,1.07002,0.911,0.98588,0.87818,0.39298,0.23904,0.157,0.184,0.20892,0.16604,0.17902,0.17602,0.209,0.20398,0.18598,0.20206,0.20698,0.2161,0.20798,0.248,0.20398,0.23498,0.28694,0.2381,0.23894,0.25498,0.233,0.27302,0.27498,0.30002,0.25906,0.26694,0.29908,0.31404,0.25696,0.26996,0.31112,0.29292,0.31602,0.30998,0.28398,0.31806,0.32012,0.30892,0.32408,0.30592,0.358,0.47284,0.37598,0.40712,0.3809,0.42516,0.46988,0.46684,0.37898,0.40116,0.379,0.484
#
linkRF11,Equal-METIS,0.9303,0.86376,0.86828,0.86894,0.847,0.88376
linkErrRF11,Equal-METIS,0.0452,0.07448,0.06618,0.0852,0.1026,0.0726
cpuRF11,Equal-METIS,0.16578,0.44936,0.69762,0.87066,0.83068,0.94226
cpuErrRF11,Equal-METIS,0.01548,0.03382,0.03462,0.00626,0.00746,0.01312
httpRF11,Equal-METIS,0.54266,0.77392,0.85706,0.9242,0.90782,0.9871,0.92228,0.87068,0.86402,0.93916,0.87684,0.94428,0.95678,0.88514,0.88382,0.92102,0.88008,0.9808,0.94916,0.96476,0.91014,0.94506,0.9078,0.91104,0.92104,0.95996,0.95196,1.02626,0.99714,0.95778,0.95424,0.91796,0.9958,0.95406,0.95798,0.97788,1.05626,0.93766,0.90532,0.93304,0.90388,1.03616,0.9758,0.95906,0.96796,0.96978,0.88516,0.91608,0.90106,0.94396,0.93322,1.0306,0.905,1.01724,1.0138,0.94922,0.94886,0.9259,0.95488,0.9822,0.414,0.19398,0.15102,0.20598,0.18098,0.19598,0.18602,0.20198,0.22398,0.19208,0.21096,0.24004,0.23796,0.23102,0.28592,0.33312,0.40396,0.3549,0.40998,0.38898,0.413,0.37908,0.38198,0.35398,0.368,0.43702,0.41902,0.39992,0.42604,0.427,0.39792,0.38904,0.39802,0.413,0.38496,0.42998,0.43908,0.4339,0.47812,0.46796,0.46598,0.4829,0.44698,0.48118,0.44094,0.41386,0.45414,0.46118,0.47174,0.49008,0.48012,0.48098,0.43886,0.436,0.42035
#
linkRF11,C90,0.90824,0.92884,0.8622,0.88212,0.9322,0.8922
linkErrRF11,C90,0.08748,0.04728,0.0747,0.07448,0.05728,0.06448
cpuRF11,C90,0.64828,0.44408,0.69878,0.36624,0.83488,0.73334
cpuErrRF11,C90,0.02778,0.03552,0.03334,0.0197,0.00906,0.01078
httpRF11,C90,0.54476,0.72794,0.79484,0.91708,0.9412,1.02564,0.94728,0.85586,0.92168,0.93216,0.88414,1.0011,0.92298,0.87982,0.93916,0.93864,0.91634,0.98074,0.97122,0.97092,0.928,0.92682,0.94414,0.8839,0.93622,1.00364,0.95828,0.986,1.03398,0.97888,0.93498,1.01506,1.00424,0.96166,1.00106,0.9919,1.06218,0.94994,0.96922,0.95102,1.00392,0.97876,0.99408,0.99122,1.01914,0.99164,0.96482,0.88826,0.94596,0.95104,0.94092,1.0369,0.9812,1.00806,0.9416,1.07358,0.97886,0.9779,0.97826,0.93492,0.59702,0.221,0.15402,0.16892,0.18604,0.17398,0.20498,0.20104,0.183,0.193,0.20298,0.21496,0.22396,0.22302,0.23104,0.23198,0.26594,0.232,0.25908,0.27802,0.27698,0.28796,0.24502,0.25704,0.26402,0.30096,0.32102,0.41782,0.4242,0.44498,0.45694,0.3931,0.41002,0.32586,0.28412,0.32888,0.34006,0.34296,0.36696,0.30112,0.39096,0.53602,0.54416,0.33598,0.356,0.3259,0.4581,0.47804,0.48306,0.49892,0.47894,0.47294,0.48902,0.48918,0.399966667
#
linkRF11,Waterfall,0.91112,0.92334,0.9317,0,0,0
linkErrRF11,Waterfall,0.05334,0.06634,0.0613,0,0,0
cpuRF11,Waterfall,0.83634,0.882,0.80824,0.01284,0.0135,0.01852
cpuErrRF11,Waterfall,0.01952,0.01222,0.00902,0.00578,0.00658,0.00638
httpRF11,Waterfall,0.74368,0.71686,0.79314,0.92672,0.88832,0.85494,0.87198,0.7732,0.81272,0.879,0.83906,0.91902,0.82396,0.7869,0.90216,0.80298,0.85392,0.93124,0.9128,0.80402,0.86816,0.87976,0.83608,0.78928,0.9038,0.85696,0.92908,0.97388,0.89728,0.9145,0.83822,0.91392,0.93096,0.86028,0.8726,0.95434,0.93894,0.85016,0.88684,0.92882,0.84814,0.89396,0.95794,0.91716,0.85902,0.8739,0.84992,0.82406,0.85488,0.8451,0.91688,0.93308,0.86518,0.94768,0.9325,0.90898,0.87388,0.83082,0.92514,0.80308,0.36294,0.22798,0.25102,0.36308,0.36302,0.32998,0.35098,0.36592,0.35704,0.37006,0.40784,0.41398,0.44804,0.40902,0.42006,0.40196,0.4661,0.50396,0.54578,0.55812,0.56716,0.56686,0.57396,0.60406,0.56888,0.62512,0.5499,0.59314,0.52622,0.59676,0.50508,0.58392,0.55714,0.63192,0.58478,0.63708,0.67616,0.60686,0.6371,0.7269,0.62592,0.6471,0.64802,0.60196,0.63306,0.60408,0.57892,0.67196,0.68194,0.65818,0.56412,0.62892,0.62392,0.634
