linkRF36,SwitchBinPlacer,0.9754,0.9773,0.55792,0.96482,0.36494,0.26494
linkErrRF36,SwitchBinPlacer,0.00142,0.0016,0.10516,0.00382,0.1571,0.1771
cpuRF36,SwitchBinPlacer,0.75608,0.65262,0.71158,1,0.95858,1
cpuErrRF36,SwitchBinPlacer,0.0093,0.01086,0.02678,0,0.00444,0
httpRF36,SwitchBinPlacer,0.01466,0.018,0.05134,0.04734,0.05868,0.03402,0.036,0.036,0.03532,0.02802,0.03866,0.03468,0.02598,0.03934,0.04066,0.03934,0.036,0.04866,0.05066,0.05334,0.04198,0.05936,0.04998,0.0587,0.05198,0.05332,0.04534,0.04734,0.05068,0.05332,0.05002,0.05802,0.054,0.058,0.06932,0.062,0.05,0.04,0.05132,0.046,0.04534,0.05334,0.05664,0.058,0.05466,0.04996,0.06136,0.05332,0.05868,0.04664,0.06002,0.06066,0.05934,0.0593,0.062,0.06264,0.05466,0.0627,0.06402,0.05064,0.056,0.05066,0.054,0.054,0.05266,0.05334,0.05398,0.06534,0.05068,0.052,0.04202,0.04266,0.04464,0.04732,0.05066,0.04134,0.038,0.03934,0.04932,0.04734,0.04866,0.03998,0.06662,0.04534,0.0567,0.05468,0.048,0.05734,0.05134,0.05336,0.06128,0.052,0.05734,0.06064,0.06068,0.06534,0.06134,0.07198,0.06198,0.07202,0.07066,0.06202,0.06466,0.05666,0.068,0.0647,0.0713,0.06466,0.08198,0.0707,0.06068,0.07068,0.086675,0.093333333
#
linkRF36,MAX_CPU,0.96046,0.97434,0.9028,0.97694,0.97352,0.80824
linkErrRF36,MAX_CPU,0.07038,0.02134,0.14998,0.00106,0.00192,0.15312
cpuRF36,MAX_CPU,0.89212,0.89506,0.9925,0.80258,0.89484,0.99994
cpuErrRF36,MAX_CPU,0.00558,0.00854,0.00756,0.0138,0.01624,0.00044
httpRF36,MAX_CPU,0.23256,0.46596,0.81928,0.64878,0.66716,0.71942,0.59528,0.58932,0.64928,0.65066,0.62008,0.65788,0.64462,0.7002,0.67334,0.70524,0.71392,0.74462,0.67414,0.72378,0.6903,0.77606,0.68176,0.83288,0.8101,0.86118,0.85724,0.7845,0.83292,0.77854,0.72204,0.85134,0.89464,0.77802,0.9582,0.85524,0.8274,0.89706,0.80948,0.79456,0.72464,0.68622,0.77384,0.76274,0.70196,0.69332,0.72782,0.69802,0.74134,0.75632,0.78376,0.73408,0.7291,0.70376,0.70362,0.69858,0.74538,0.7414,0.87404,0.75922,0.71028,0.61182,0.44272,0.35668,0.25258,0.22,0.212,0.21334,0.17728,0.1727,0.17536,0.17998,0.18734,0.17732,0.1567,0.17468,0.17794,0.1673,0.1847,0.20138,0.21334,0.21934,0.23128,0.1747,0.18008,0.21864,0.2093,0.20932,0.18996,0.20072,0.2093,0.16864,0.16666,0.1507,0.21932,0.29674,0.23804,0.23134,0.18596,0.19932,0.18934,0.15936,0.1466,0.16004,0.14132,0.14798,0.14,0.1447,0.11864,0.14668,0.18068,0.19202,0.15532,0.14928,0.18934
#
linkRF36,MAX_CPU_N,0.9625,0.968,0.77852,0.98796,0.97678,0.9322
linkErrRF36,MAX_CPU_N,0.02268,0.02254,0.21646,0.01402,0.00168,0.01158
cpuRF36,MAX_CPU_N,0.94324,0.92762,0.99838,0.63618,0.56136,0.87876
cpuErrRF36,MAX_CPU_N,0.01258,0.00528,0.00288,0.01726,0.01978,0.02334
httpRF36,MAX_CPU_N,0.15922,0.4861,0.36134,0.4479,0.62142,0.62448,0.56076,0.5515,0.5371,0.50732,0.52752,0.47726,0.51604,0.53658,0.49808,0.47142,0.44992,0.43194,0.446,0.5114,0.48668,0.47932,0.44538,0.50258,0.52288,0.55724,0.5185,0.57944,0.53852,0.51684,0.50468,0.52464,0.5319,0.51664,0.47276,0.50666,0.50248,0.55682,0.50068,0.51478,0.54326,0.52612,0.52178,0.53992,0.52692,0.48806,0.48974,0.57158,0.53254,0.47134,0.50606,0.48612,0.49246,0.54402,0.52818,0.50866,0.54852,0.4947,0.5466,0.50806,0.51278,0.52112,0.34926,0.23536,0.22338,0.1833,0.188,0.19,0.21674,0.20194,0.19402,0.21064,0.1893,0.18668,0.2087,0.22132,0.22538,0.23132,0.20198,0.20134,0.20936,0.19332,0.23134,0.20132,0.19602,0.20536,0.1913,0.19404,0.22136,0.17396,0.1873,0.18672,0.17598,0.15192,0.1447,0.156,0.15402,0.14864,0.16734,0.15062,0.16534,0.14466,0.13202,0.16606,0.14928,0.13802,0.15936,0.162,0.17796,0.20404,0.21138,0.23128,0.19932,0.15664,0.1727
#
