fattree-80sw,WATERFALL,3,0,0,0,0,750,2.239471;0,0.95641025641,0.807894736842,0.964102564103
fattree-80sw,BALANCED,4,2,0.957894736842,0.578947368421,0.289473684211,960,0.584358;1.95789473684,0.835897435897,1.2,0.55641025641
fattree-80sw,MAX_CPU,4,2,0.994736842105,0.840958164642,0.420479082321,850,0.584358;0.894736842105,0.738461538462,1.99473684211,1.68717948718
fattree-80sw,C90,4,0,0,0,0,820,0.584358;0.794736842105,0.866666666667,0.821052631579,0.997435897436
fattree-80sw,MAX_CPU_N,4,2,0.289473684211,0.167813765182,0.0839068825911,960,0.584358;1.28947368421,1.04615384615,0.763157894737,0.766666666667
jellyfish-70sw,WATERFALL,3,3,0.242105263158,0.239113810166,0.239113810166,640,2.325301;1.24210526316,1.24102564103,1.23421052632
jellyfish-70sw,BALANCED,3,2,1.23684210526,0.797368421053,0.531578947368,720,0.612813;2.23684210526,0.958974358974,1.35789473684
jellyfish-70sw,MAX_CPU,3,3,1.7,0.749122807018,0.749122807018,680,0.612813;1.44736842105,1.1,2.7
jellyfish-70sw,C90,3,3,0.347368421053,0.303373819163,0.303373819163,650,0.612813;1.34736842105,1.21538461538,1.34736842105
jellyfish-70sw,MAX_CPU_N,3,3,0.726315789474,0.348627980207,0.348627980207,650,0.612813;1.72631578947,1.25641025641,1.06315789474
jellyfish-150sw,WATERFALL,6,6,0.113157894737,0.0973796671165,0.0973796671165,1840,4.461303;1.1,1.1,1.11315789474,1.11025641026,1.07368421053,1.08717948718
jellyfish-150sw,BALANCED,6,4,1.37894736842,0.804588394062,0.536392262708,1970,0.643572;2.31578947368,1.00256410256,1.52105263158,0.735897435897,2.37894736842,0.948717948718
jellyfish-150sw,MAX_CPU,6,4,1.59473684211,0.814642375169,0.543094916779,1870,0.643572;1.16315789474,0.989743589744,2.59473684211,2.27435897436,1.22631578947,0.971794871795
jellyfish-150sw,C90,6,6,0.271794871795,0.141677912731,0.141677912731,1820,0.643572;1.06315789474,1.15641025641,1.17368421053,1.27179487179,1.11578947368,1.06923076923
jellyfish-150sw,MAX_CPU_N,6,5,0.636842105263,0.344669365722,0.287224471435,1930,0.643572;1.63684210526,1.18205128205,1.03684210526,0.920512820513,1.63684210526,1.23076923077
jellyfish-670sw,WATERFALL,21,21,0.307692307692,0.25826425037,0.25826425037,11000,17.857382;1.17368421053,1.27435897436,1.27631578947,1.30256410256,1.30526315789,1.2641025641,1.25526315789,1.30256410256,1.11052631579,1.27948717949,1.24210526316,1.28974358974,1.22631578947,1.25384615385,1.29210526316,1.30769230769,1.16315789474,1.25128205128,1.27368421053,1.27948717949,1.3
jellyfish-670sw,BALANCED,21,16,2.16315789474,1.07265519568,0.817261101472,11070,0.744577;3.07894736842,1.17948717949,1.77894736842,0.823076923077,2.95263157895,1.15897435897,1.84210526316,0.889743589744,2.98947368421,1.21025641026,1.77894736842,0.876923076923,3.10526315789,1.19487179487,1.72105263158,0.887179487179,3.16315789474,1.18205128205,1.85263157895,0.830769230769,2.97368421053
jellyfish-670sw,MAX_CPU,21,21,1.88421052632,0.952689415847,0.952689415847,10850,0.744577;1.39473684211,1.18205128205,2.88421052632,2.47948717949,1.32631578947,1.1,2.86315789474,2.5358974359,1.35263157895,1.13846153846,2.77368421053,2.69230769231,1.51052631579,1.1358974359,2.72631578947,2.53333333333,1.42105263158,1.1358974359,2.86842105263,2.52051282051,1.43157894737
jellyfish-670sw,C90,21,21,0.458974358974,0.360356018251,0.360356018251,10630,0.744577;1.28947368421,1.24102564103,1.33157894737,1.34615384615,1.2,1.37435897436,1.44210526316,1.44615384615,1.30526315789,1.32307692308,1.36315789474,1.43846153846,1.36842105263,1.29230769231,1.39473684211,1.45641025641,1.39473684211,1.35897435897,1.42631578947,1.45897435897,1.31578947368
jellyfish-670sw,MAX_CPU_N,21,21,1.11052631579,0.515069725596,0.515069725596,10960,0.744577;2.11052631579,1.42820512821,1.35789473684,1.15897435897,2.05789473684,1.48461538462,1.35789473684,1.19487179487,1.94210526316,1.45128205128,1.35789473684,1.04102564103,2.04736842105,1.53333333333,1.22631578947,1.15641025641,1.99473684211,1.50512820513,1.21578947368,1.12051282051,2.07368421053
rocketfuel-604sw,WATERFALL,8,8,0.289743589744,0.2772182861,0.2772182861,4570,9.013186;1.28421052632,1.26666666667,1.24473684211,1.28974358974,1.28947368421,1.27948717949,1.27368421053,1.28974358974
rocketfuel-604sw,BALANCED,8,7,2.24210526316,0.947908232119,0.829419703104,2960,0.682897;2.8,1.43846153846,1.95789473684,1.20769230769,3.24210526316,1.21025641026,1.77894736842,0.705128205128
rocketfuel-604sw,MAX_CPU,8,8,2.26315789474,1.00352564103,1.00352564103,2990,0.682897;1.47894736842,1.04102564103,3.26315789474,2.65384615385,1.55263157895,1.11538461538,2.50526315789,2.41794871795
rocketfuel-604sw,C90,8,8,0.731578947368,0.456427125506,0.456427125506,2550,0.682897;1.55789473684,1.22307692308,1.73157894737,1.72564102564,1.44210526316,1.52820512821,1.17368421053,1.26923076923
rocketfuel-604sw,MAX_CPU_N,8,8,1.12105263158,0.569433198381,0.569433198381,3460,0.682897;1.83157894737,1.70256410256,1.81052631579,1.27948717949,2.12105263158,1.60769230769,1.2,1.00256410256
fattree-281sw,WATERFALL,12,10,0.135897435897,0.110290148448,0.09190845704,8470,9.686009;0.794736842105,1.09487179487,1.1,1.12435897436,1.09473684211,1.06666666667,1.13421052632,1.1358974359,0.921052631579,1.1,1.13421052632,1.11794871795
fattree-281sw,BALANCED,12,9,1.84736842105,0.812130754236,0.609098065677,7960,0.639159;2.64736842105,1.07692307692,1.50526315789,0.651282051282,2.84736842105,1.03846153846,1.67894736842,0.615384615385,2.84736842105,1.0358974359,1.63157894737,0.648717948718
fattree-281sw,MAX_CPU,12,9,1.69473684211,0.996296296296,0.747222222222,8090,0.639159;1.24210526316,0.969230769231,2.47894736842,2.19487179487,1.23684210526,0.869230769231,2.69473684211,2.10769230769,1.23684210526,0.971794871795,2.51052631579,2.2641025641
fattree-281sw,C90,12,11,0.221052631579,0.17369647896,0.15922177238,7880,0.639159;1.22105263158,1.06666666667,1.17368421053,1.19230769231,1.13157894737,0.997435897436,1.18421052632,1.19487179487,1.22105263158,1.1641025641,1.18421052632,1.17692307692
fattree-281sw,MAX_CPU_N,12,9,0.778947368421,0.360458839406,0.270344129555,7690,0.639159;1.62105263158,1.27435897436,1.05789473684,0.987179487179,1.77894736842,1.37948717949,1.05789473684,0.887179487179,1.68947368421,1.26923076923,1.11578947368,0.987179487179
fattree-320sw,WATERFALL,14,12,0.205128205128,0.17624831309,0.151069982649,11120,10.503079;1.11578947368,1.15384615385,1.19473684211,1.20512820513,0.978947368421,1.15384615385,1.19473684211,1.20512820513,1.18421052632,1.15384615385,1.19473684211,1.20512820513,0.978947368421,1.15384615385
fattree-320sw,BALANCED,14,10,1.70526315789,0.895506072874,0.63964719491,10620,0.650244;2.55789473684,1.14615384615,1.64210526316,0.730769230769,2.70526315789,1.0,1.70526315789,0.730769230769,2.70526315789,1.08717948718,1.52631578947,0.848717948718,2.70526315789,1.17435897436
fattree-320sw,MAX_CPU,14,12,1.84210526316,0.920299145299,0.788827838828,10030,0.650244;1.35263157895,0.935897435897,2.77368421053,2.26666666667,1.42105263158,0.935897435897,2.84210526316,2.37948717949,1.38947368421,1.02051282051,2.73157894737,2.45641025641,1.38947368421,1.02051282051
fattree-320sw,C90,14,14,0.382051282051,0.23016194332,0.23016194332,10410,0.650244;1.18421052632,1.15384615385,1.3,1.15384615385,1.28947368421,1.24358974359,1.30526315789,1.24102564103,1.21578947368,1.12307692308,1.18421052632,1.38205128205,1.28947368421,1.15641025641
fattree-320sw,MAX_CPU_N,14,14,0.921052631579,0.374677077309,0.374677077309,9730,0.650244;1.92105263158,1.19230769231,1.12105263158,1.01538461538,1.92105263158,1.27948717949,1.18421052632,1.04102564103,1.92105263158,1.27948717949,1.18421052632,1.01538461538,1.92105263158,1.24871794872
jellyfish-230sw,WATERFALL,8,8,0.155263157895,0.144399460189,0.144399460189,3170,6.500860;1.15263157895,1.13076923077,1.14210526316,1.14487179487,1.15263157895,1.13076923077,1.15526315789,1.14615384615
