fattree-80sw,WATERFALL,1,0,0,0,0,0,2.508816;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612820512821,0
fattree-80sw,BALANCED,20,0,0,0,0,1890,0.630048;0.136842105263,0.025641025641,0.152631578947,0.0307692307692,0.121052631579,0.025641025641,0.152631578947,0.025641025641,0.121052631579,0.0128205128205,0.136842105263,0.0410256410256,0.1,0.025641025641,0.131578947368,0.025641025641,0.121052631579,0.0,0.189473684211,0.0410256410256,0.115789473684
fattree-80sw,MAX_CPU,16,0,0,0,0,1670,0.630048;0.0736842105263,0.025641025641,0.252631578947,0.0974358974359,0.0736842105263,0.025641025641,0.252631578947,0.0897435897436,0,0.0,0.194736842105,0.125641025641,0,0.025641025641,0.252631578947,0.0897435897436,0,0.025641025641,0.310526315789,0.125641025641,0
fattree-80sw,C90,16,0,0,0,0,1590,0.630048;0,0.0,0.1,0.0897435897436,0,0.0384615384615,0.115789473684,0.0897435897436,0.0315789473684,0.0,0.1,0.0897435897436,0.0315789473684,0.025641025641,0.136842105263,0.0897435897436,0,0.0512820512821,0.1,0.0897435897436,0.0315789473684
fattree-80sw,MAX_CPU_N,21,0,0,0,0,1730,0.630048;0.0736842105263,0.0435897435897,0.0842105263158,0.0282051282051,0.0736842105263,0.0435897435897,0.105263157895,0.0769230769231,0.0578947368421,0.0128205128205,0.0842105263158,0.0769230769231,0.115789473684,0.025641025641,0.136842105263,0.0769230769231,0.0578947368421,0.0512820512821,0.0842105263158,0.0282051282051,0.0578947368421
jellyfish-70sw,WATERFALL,1,0,0,0,0,0,2.311593;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570512820513,0
jellyfish-70sw,BALANCED,20,0,0,0,0,1530,0.643688;0.131578947368,0.025641025641,0.142105263158,0.0358974358974,0.105263157895,0.0384615384615,0.152631578947,0.0487179487179,0.1,0.0128205128205,0.173684210526,0.0102564102564,0.121052631579,0.0,0.194736842105,0.0384615384615,0.0736842105263,0.0128205128205,0.121052631579,0.0282051282051,0.131578947368
jellyfish-70sw,MAX_CPU,18,0,0,0,0,1470,0.643688;0,0.025641025641,0.268421052632,0.0948717948718,0,0.0128205128205,0.173684210526,0.0948717948718,0.0736842105263,0.025641025641,0.194736842105,0.0897435897436,0.0631578947368,0.0128205128205,0.231578947368,0.1,0.1,0.0384615384615,0.226315789474,0.107692307692,0
jellyfish-70sw,C90,15,0,0,0,0,1390,0.643688;0,0.025641025641,0.163157894737,0.0589743589744,0,0.0,0.142105263158,0.0564102564103,0,0.0384615384615,0.110526315789,0.0974358974359,0,0.025641025641,0.0842105263158,0.0692307692308,0.1,0.025641025641,0.168421052632,0.0692307692308,0
jellyfish-70sw,MAX_CPU_N,20,0,0,0,0,1470,0.643688;0.110526315789,0.025641025641,0.131578947368,0.0435897435897,0.110526315789,0.025641025641,0.110526315789,0.0564102564103,0.1,0.025641025641,0.163157894737,0.0153846153846,0.110526315789,0.0128205128205,0.110526315789,0.0179487179487,0.0789473684211,0.0384615384615,0,0.0589743589744,0.0842105263158
