fattree-80sw,WATERFALL,2,0,0,0,0,640,2.234031;0,0,0,0.925641025641,0,0,0,0.925641025641
fattree-80sw,BALANCED,8,0,0,0,0,1320,0.608961;0.931578947368,0.512820512821,0.6,0.325641025641,0.994736842105,0.479487179487,0.6,0.325641025641
fattree-80sw,MAX_CPU,8,2,0.194736842105,0.160526315789,0.0401315789474,1270,0.608961;0.484210526316,0.407692307692,1.19473684211,0.917948717949,0.415789473684,0.402564102564,1.12631578947,0.912820512821
fattree-80sw,C90,8,0,0,0,0,1170,0.608961;0.494736842105,0.523076923077,0.505263157895,0.5,0.326315789474,0.523076923077,0.505263157895,0.505128205128
fattree-80sw,MAX_CPU_N,8,0,0,0,0,1120,0.608961;0.689473684211,0.6,0.505263157895,0.369230769231,0.689473684211,0.6,0.505263157895,0.369230769231
jellyfish-70sw,WATERFALL,3,0,0,0,0,540,2.287016;0,0.989743589744,0,0.975641025641,0,0.0538461538462,0
jellyfish-70sw,BALANCED,7,1,0.0789473684211,0.0789473684211,0.0112781954887,1120,0.603259;1.07894736842,0.476923076923,0.736842105263,0.276923076923,0.931578947368,0.464102564103,0.647368421053
jellyfish-70sw,MAX_CPU,7,2,0.315789473684,0.271052631579,0.0774436090226,1020,0.603259;0.431578947368,0.507692307692,1.31578947368,0.984615384615,0.494736842105,0.451282051282,1.22631578947
jellyfish-70sw,C90,7,0,0,0,0,1060,0.603259;0.431578947368,0.594871794872,0.631578947368,0.523076923077,0.442105263158,0.551282051282,0.605263157895
jellyfish-70sw,MAX_CPU_N,7,0,0,0,0,1060,0.603259;0.715789473684,0.620512820513,0.573684210526,0.420512820513,0.647368421053,0.625641025641,0.447368421053
jellyfish-150sw,WATERFALL,5,0,0,0,0,1690,3.722372;0,0.879487179487,0,0.94358974359,0,0.976923076923,0,0.975641025641,0,0.84358974359
jellyfish-150sw,BALANCED,10,3,0.442105263158,0.398245614035,0.119473684211,2350,0.595965;1.41578947368,0.679487179487,0.978947368421,0.482051282051,1.44210526316,0.666666666667,0.984210526316,0.423076923077,1.33684210526,0.682051282051
jellyfish-150sw,MAX_CPU,10,4,0.747368421053,0.527631578947,0.211052631579,2220,0.595965;0.652631578947,0.64358974359,1.74736842105,1.37179487179,0.7,0.669230769231,1.56315789474,1.42820512821,0.673684210526,0.6
jellyfish-150sw,C90,10,0,0,0,0,2240,0.595965;0.689473684211,0.730769230769,0.805263157895,0.764102564103,0.726315789474,0.776923076923,0.747368421053,0.697435897436,0.6,0.748717948718
jellyfish-150sw,MAX_CPU_N,10,2,0.0263157894737,0.0184210526316,0.00368421052632,2290,0.595965;1.02631578947,0.920512820513,0.652631578947,0.55641025641,1.01052631579,0.789743589744,0.684210526316,0.54358974359,0.905263157895,0.835897435897
jellyfish-670sw,WATERFALL,25,0,0,0,0,10950,19.678552;0,0.997435897436,0.942105263158,0.994871794872,0,0.897435897436,0.963157894737,0.961538461538,0,0.964102564103,0.971052631579,0.997435897436,0,0.994871794872,0.952631578947,0.984615384615,0,0.971794871795,0.913157894737,0.951282051282,0,0.964102564103,0.907894736842,0.988461538462,0,0.948717948718,0.710526315789,0.99358974359,0.521052631579,0.874358974359,0.944736842105,0.967948717949
jellyfish-670sw,BALANCED,32,16,1.15263157895,0.623026315789,0.311513157895,11880,0.694573;2.02105263158,0.897435897436,1.11578947368,0.628205128205,1.96842105263,0.928205128205,1.27368421053,0.553846153846,1.87894736842,0.879487179487,1.28947368421,0.579487179487,2.03157894737,0.874358974359,1.32631578947,0.620512820513,2.07368421053,0.897435897436,1.25263157895,0.569230769231,1.97368421053,0.828205128205,1.2,0.617948717949,1.94210526316,0.874358974359,1.23684210526,0.602564102564,2.15263157895,0.887179487179,1.23157894737,0.574358974359
jellyfish-670sw,MAX_CPU,32,16,1.11578947368,0.879284750337,0.439642375169,11440,0.694573;0.963157894737,0.751282051282,2.06315789474,1.74358974359,0.884210526316,0.802564102564,1.98421052632,1.77435897436,0.878947368421,0.838461538462,2.05263157895,1.65641025641,0.963157894737,0.776923076923,2.11578947368,1.79230769231,0.947368421053,0.789743589744,2.01578947368,1.77692307692,0.868421052632,0.828205128205,2.10526315789,1.70256410256,0.973684210526,0.784615384615,1.91578947368,1.67948717949,0.868421052632,0.787179487179,1.92105263158,1.76923076923
jellyfish-670sw,C90,32,5,0.0631578947368,0.0338191632928,0.00528424426451,11510,0.694573;0.857894736842,0.925641025641,1.0,0.987179487179,0.831578947368,0.905128205128,1.06315789474,0.992307692308,0.884210526316,0.917948717949,0.994736842105,1.0358974359,0.815789473684,0.9,0.968421052632,0.925641025641,0.910526315789,0.930769230769,1.03157894737,1.00512820513,0.831578947368,0.892307692308,0.931578947368,0.987179487179,0.789473684211,0.897435897436,0.9,1.03333333333,0.789473684211,0.889743589744,1.0,0.976923076923
jellyfish-670sw,MAX_CPU_N,32,16,0.436842105263,0.234969635628,0.117484817814,11780,0.694573;1.28947368421,1.11282051282,0.815789473684,0.766666666667,1.43684210526,1.1,0.868421052632,0.74358974359,1.42105263158,1.07948717949,0.889473684211,0.679487179487,1.43684210526,1.07948717949,0.884210526316,0.779487179487,1.28947368421,1.07692307692,0.836842105263,0.728205128205,1.35789473684,1.1,0.836842105263,0.741025641026,1.39473684211,1.06666666667,0.889473684211,0.797435897436,1.39473684211,1.12307692308,0.968421052632,0.779487179487
rocketfuel-604sw,WATERFALL,11,9,0.0552631578947,0.0447893237367,0.03664581033,5290,31.708549;1.02105263158,0.997435897436,1.05,1.04358974359,1.05263157895,1.05128205128,1.04210526316,1.05128205128,1.0,1.0358974359,1.05526315789
rocketfuel-604sw,BALANCED,11,8,1.17894736842,0.689946018893,0.501778922832,5050,0.649128;2.17894736842,1.08205128205,1.74736842105,0.769230769231,2.16842105263,1.07435897436,1.49473684211,0.5,1.85789473684,0.876923076923,1.91578947368
rocketfuel-604sw,MAX_CPU,11,9,1.48421052632,0.717648822912,0.587167218746,4510,0.649128;1.24210526316,1.08461538462,2.38947368421,1.91282051282,0.926315789474,0.910256410256,2.13684210526,1.93846153846,1.24210526316,1.02820512821,2.48421052632
rocketfuel-604sw,C90,11,8,0.515789473684,0.233721322537,0.169979143663,3940,0.649128;1.1,1.2358974359,1.25789473684,1.21794871795,0.910526315789,0.969230769231,0.931578947368,1.15384615385,1.14736842105,1.24102564103,1.51578947368
rocketfuel-604sw,MAX_CPU_N,11,8,0.752631578947,0.425084345479,0.309152251258,3520,0.649128;1.75263157895,1.22820512821,1.12105263158,0.917948717949,1.64736842105,1.40769230769,1.35263157895,0.725641025641,1.75263157895,1.13846153846,0.805263157895
fattree-281sw,WATERFALL,12,0,0,0,0,7640,46.820098;0,0.9,0.968421052632,0.99358974359,0,0.746153846154,0.973684210526,0.991025641026,0,0.666666666667,0,0.992307692308,0,0.969230769231,0.910526315789,0.992307692308,0,0.971794871795
fattree-281sw,BALANCED,18,8,0.963157894737,0.517763157895,0.230116959064,9180,0.632043;1.78421052632,0.823076923077,0.994736842105,0.548717948718,1.8,0.858974358974,1.06842105263,0.45641025641,1.96315789474,0.728205128205,1.05789473684,0.512820512821,1.68947368421,0.730769230769,1.05789473684,0.546153846154,1.72105263158,0.85641025641
