
##### 7 switches #####
tx rx pkt_out pkt_in cpu
130 130 12505 12508 27
260 260 25009 25013 36
391 391 37607 37610 55
520 520 50023 50026 74
650 650 62447 62467 84
788 788 75786 75789 89
886 892 85157 85678 94
893 930 85862 89352 100
62 62 6005 6008 16
120 120 11525 11529 26
177 177 17012 17016 35
234 234 22531 22534 38
292 292 28101 28105 42
349 349 33569 33572 49
407 407 39076 39079 56
465 465 44659 44663 65
520 520 50018 50022 74
577 578 55544 55554 80
643 643 61755 61758 83
694 694 66701 66705 85
754 754 72495 72499 89
813 813 78149 78154 89
859 861 82604 82764 91
891 899 85646 86383 94
914 928 87900 89199 97
905 936 86978 89865 99
912 958 87723 92027 100
928 975 89151 93626 100
##### 12 switches #####
tx rx pkt_out pkt_in cpu
114 114 11009 11012 25
229 229 22040 22043 41
342 342 33023 33027 48
456 456 44076 44080 64
573 573 55280 55283 82
687 687 66265 66268 91
804 804 77566 77570 95
918 918 88536 88540 97
940 950 90667 91596 100
52 52 5005 5008 15
104 104 10008 10011 22
166 166 16011 16014 33
218 218 21022 21025 39
270 270 26058 26061 43
322 322 31074 31078 47
375 375 36122 36125 53
436 436 42042 42045 62
489 489 47197 47201 70
540 540 52116 52119 78
592 592 57176 57179 84
656 656 63263 63273 89
706 706 68069 68072 92
763 763 73573 73577 94
810 810 78173 78176 95
864 864 83380 83384 96
924 924 89126 89152 98
940 944 90675 91065 99
914 929 88182 89558 100
##### 17 switches #####
tx rx pkt_out pkt_in cpu
109 109 10516 10519 24
218 218 21027 21031 41
326 326 31536 31540 48
436 436 42102 42106 61
545 545 52675 52678 79
652 652 63010 63018 92
777 777 75061 75065 96
888 888 85742 85747 97
949 952 91636 91973 99
958 970 92504 93651 100
47 47 4508 4511 13
93 93 9013 9016 22
155 155 15014 15017 32
202 202 19523 19527 39
264 264 25533 25536 44
311 311 30025 30028 48
358 358 34590 34594 50
420 420 40575 40578 59
467 467 45082 45085 65
513 513 49546 49549 73
576 576 55608 55611 83
622 622 60050 60054 89
670 670 64710 64713 93
733 733 70809 70812 95
777 777 75061 75065 96
827 827 79853 79856 97
888 888 85733 85740 98
928 929 89659 89738 99
963 966 93049 93288 100
973 978 93991 94464 100
##### 22 switches #####
tx rx pkt_out pkt_in cpu
104 104 10011 10014 18
207 207 20013 20016 38
311 311 30043 30047 47
435 435 42038 42041 61
539 539 52099 52102 78
643 643 62122 62125 92
747 747 72211 72215 97
870 870 84044 84048 98
946 947 91372 91534 100
41 41 4006 4009 10
5 10 503 1006 11
145 145 14015 14019 33
207 207 20013 20016 38
249 249 24044 24047 44
311 311 30041 30044 48
352 352 34024 34027 51
394 394 38047 38050 54
456 456 44072 44075 64
498 498 48089 48092 71
559 559 54078 54082 81
602 602 58160 58163 86
664 664 64121 64124 94
703 703 67924 67933 96
767 767 74090 74094 97
809 809 78154 78158 97
870 870 84049 84053 98
911 911 88071 88077 98
951 952 91893 92020 100
963 966 93085 93373 100
