
##### 7 switches #####
tx rx pkt_out pkt_in cpu
130 130 12506 12509 12
260 260 25008 25011 16
391 391 37607 37610 25
521 521 50018 50021 23
651 651 62528 62532 32
789 789 75784 75788 40
913 913 87747 87751 47
1041 1041 100032 100036 56
1183 1183 113671 113675 65
1301 1301 125013 125016 71
1441 1442 138460 138556 73
1541 1549 148114 148798 76
1672 1685 160657 161868 82
1774 1791 170462 172086 86
1842 1867 176993 179335 91
1947 1975 187115 189696 95
1918 1980 184281 190065 95
1903 1988 182855 190822 92
1884 2001 181019 191952 93
1936 2051 186078 196827 97
62 62 6007 6010 6
62 62 6007 6010 6
188 188 18057 18061 16
188 188 18057 18060 16
314 314 30130 30133 19
314 314 30131 30135 19
434 434 41682 41685 24
434 434 41680 41684 24
560 560 53788 53792 20
560 560 53782 53785 21
685 685 65813 65816 34
685 685 65816 65820 33
813 813 78153 78156 42
0 0 5 9 1
929 929 89310 89313 49
929 929 89314 89318 48
1062 1062 102073 102077 58
1062 1062 102067 102072 58
1183 1183 113665 113669 65
1183 1183 113669 113673 64
0 0 2 6 1
1301 1301 125011 125014 71
1443 1443 138622 138683 74
1441 1442 138475 138567 73
1545 1552 148458 149082 75
1543 1550 148308 148964 75
1628 1638 156418 157414 79
1629 1639 156510 157481 80
1778 1794 170820 172374 87
1767 1786 169778 171549 87
1782 1805 171263 173360 87
1811 1833 174022 176107 90
1927 1959 185158 188134 94
1945 1973 186856 189472 95
1949 1994 187244 191461 95
1938 1984 186214 190546 95
1953 2037 187632 195541 96
1960 2043 188337 196072 96
1912 2026 183747 194447 95
1860 1969 178758 188950 91
##### 12 switches #####
tx rx pkt_out pkt_in cpu
114 114 11010 11014 11
229 229 22040 22044 19
342 342 33023 33026 23
457 457 44077 44080 24
573 573 55279 55283 29
687 687 66261 66264 40
804 804 77562 77565 50
918 918 88545 88549 59
1037 1037 100049 100052 68
1153 1153 111170 111174 76
1281 1281 123526 123529 79
1384 1384 133409 133412 83
1504 1504 145014 145018 85
1621 1621 156333 156338 86
1724 1725 166273 166327 84
1805 1810 174074 174526 86
1863 1873 179686 180588 88
1911 1928 184254 185849 91
1965 1990 189531 191867 93
2000 2032 192892 195839 94
52 52 5006 5009 1
52 52 5005 5008 3
166 166 16011 16015 15
166 166 16011 16014 16
270 270 26058 26061 22
270 270 26058 26061 21
0 0 18 22 1
384 384 37059 37062 25
489 489 47198 47201 24
489 489 47197 47200 24
603 603 58174 58177 31
603 603 58171 58174 30
706 706 68067 68071 42
706 706 68065 68069 41
824 824 79411 79414 51
823 823 79410 79414 51
935 935 90138 90142 60
935 935 90141 90145 60
1038 1038 100058 100061 68
1038 1038 100057 100061 68
1153 1153 111176 111179 75
1153 1153 111176 111179 75
1266 1266 122020 122023 79
1266 1266 122022 122025 79
1384 1384 133411 133414 82
1383 1384 133412 133416 82
1482 1482 142927 142930 84
1482 1482 142930 142933 85
1596 1596 153934 153937 86
1596 1596 153930 153934 86
1698 1698 163714 163750 84
1698 1698 163757 163786 85
1791 1794 172726 173011 86
1784 1787 171986 172343 86
1852 1859 178598 179267 88
1849 1856 178257 178958 88
1895 1910 182766 184109 90
1901 1915 183330 184613 90
1950 1972 188050 190093 92
1949 1971 187973 190021 92
##### 17 switches #####
tx rx pkt_out pkt_in cpu
109 109 10516 10519 11
217 217 21026 21030 19
0 0 11 15 1
436 436 42050 42053 27
545 545 52672 52675 30
653 653 63075 63078 39
777 777 75059 75062 47
59 120 5720 11440 16
998 998 96334 96337 68
1110 1110 107227 107230 76
1215 1215 117278 117281 83
1329 1329 128305 128309 86
1439 1440 138996 139000 89
1557 1557 150308 150311 90
1672 1672 161417 161421 91
1787 1787 172484 172493 89
1877 1878 181178 181307 90
1925 1930 185857 186289 91
1977 1985 190835 191646 94
2027 2041 195714 196978 95
47 47 4507 4511 4
47 47 4508 4511 4
155 155 15014 15018 17
155 155 15014 15017 14
264 264 25532 25535 22
264 264 25532 25535 22
358 358 34591 34594 25
357 358 34589 34592 25
466 466 45077 45080 26
467 467 45080 45083 26
576 576 55599 55602 33
576 576 55599 55602 33
685 685 66133 66137 40
685 685 66129 66132 41
793 793 76589 76592 49
793 793 76590 76594 49
889 889 85781 85784 58
889 889 85781 85785 58
996 996 96230 96233 68
997 997 96230 96234 68
1111 1111 107229 107233 76
1111 1111 107225 107228 76
1215 1215 117279 117282 82
1215 1215 117283 117286 82
0 0 15 19 1
1329 1329 128307 128311 86
1426 1426 137725 137728 88
1426 1426 137724 137727 88
1525 1525 147179 147182 90
1524 1524 147129 147134 90
1637 1637 158023 158026 91
1747 1747 168672 168675 90
1747 1747 168663 168667 90
1844 1845 178066 178110 89
1844 1844 178005 178058 89
1903 1906 183753 184019 91
1898 1901 183215 183516 91
1966 1973 189806 190499 93
1961 1968 189292 190011 93
##### 22 switches #####
tx rx pkt_out pkt_in cpu
103 103 10005 10008 7
207 207 20012 20015 19
311 311 30042 30045 27
435 435 42034 42038 28
539 539 52094 52097 31
643 643 62132 62135 38
747 748 72227 72231 46
870 870 84050 84054 57
977 977 94356 94359 67
1078 1078 104176 104179 76
1183 1183 114299 114302 83
1311 1311 126604 126606 88
0 0 15 19 1
1522 1522 147068 147072 92
1617 1617 156208 156215 92
1740 1740 168083 168085 92
1847 1847 178445 178451 90
1928 1930 186291 186414 92
1996 2000 192843 193204 94
2043 2050 197370 198018 96
41 41 4005 4008 4
41 41 4005 4008 3
145 145 14013 14016 14
145 145 14028 14031 15
249 249 24017 24020 22
249 249 24017 24020 23
352 352 34027 34031 25
352 352 34026 34029 26
456 456 44069 44072 27
456 456 44073 44076 27
560 560 54069 54072 33
560 560 54072 54075 33
664 664 64190 64193 40
664 664 64136 64139 39
767 767 74102 74105 49
767 767 74092 74095 48
870 870 84055 84058 57
870 870 84052 84055 58
977 977 94354 94357 67
977 977 94351 94354 68
1078 1078 104173 104176 76
1078 1078 104175 104178 76
1183 1183 114298 114301 83
1183 1183 114307 114310 83
1286 1286 124235 124239 87
1286 1286 124235 124238 87
1390 1390 134242 134245 90
1390 1390 134244 134247 90
1501 1501 144953 144956 91
1501 1501 144958 144962 91
1605 1605 155063 155067 92
1711 1711 165325 165327 92
1713 1713 165459 165461 92
1816 1816 175411 175420 91
1816 1816 175434 175438 91
1901 1902 183693 183771 92
1900 1901 183592 183674 91
1959 1961 189221 189476 93
1963 1966 189647 189875 93
