
##### 7 switches #####
tx rx pkt_out pkt_in cpu
1285 1291 124044 124622 98
1289 1295 124425 125006 98
1287 1298 124284 125337 99
1297 1308 125230 126237 99
1289 1305 124415 125958 100
1287 1304 124269 125913 99
##### 22 switches #####
tx rx pkt_out pkt_in cpu
103 103 10009 10012 8
207 207 20017 20020 24
311 311 30052 30056 35
435 435 42048 42051 49
539 539 52122 52125 62
643 643 62158 62161 76
748 748 72255 72258 87
870 870 84084 84089 91
977 977 94406 94409 92
1079 1079 104241 104244 91
1183 1183 114323 114330 92
1274 1276 123081 123264 97
1292 1298 124780 125351 99
1287 1299 124320 125465 100
41 41 4005 4008 4
41 41 4006 4009 4
124 124 12028 12031 14
124 124 12015 12019 14
207 207 20016 20019 24
207 207 20016 20020 24
269 269 26028 26031 30
269 269 26028 26031 30
352 352 34038 34042 38
352 352 34038 34042 39
434 434 42046 42050 48
435 435 42087 42090 48
498 498 48112 48115 57
498 498 48113 48117 57
580 580 56113 56116 68
580 580 56064 56067 68
664 664 64147 64151 79
664 664 64147 64150 79
727 727 70292 70295 85
727 726 70225 70228 86
810 810 78252 78255 90
809 809 78175 78179 90
893 893 86270 86273 92
892 892 86262 86265 92
954 954 92229 92232 92
955 955 92307 92310 92
1036 1036 100071 100074 92
1036 1036 100070 100074 92
1120 1120 108170 108173 91
1120 1120 108189 108193 91
1182 1182 114239 114249 93
1183 1183 114335 114341 93
1255 1256 121264 121341 96
1254 1255 121111 121208 96
1288 1291 124439 124772 99
1290 1293 124609 124918 99
1290 1296 124594 125173 99
1294 1300 125016 125553 99
1293 1304 124948 125997 100
1277 1289 123391 124520 100
