
##### 7 switches #####
tx rx pkt_out pkt_in cpu
130 130 12508 12511 14
260 260 25013 25016 24
391 391 37613 37617 42
521 521 50024 50027 56
650 650 62526 62529 66
788 789 75796 75799 73
913 913 87744 87749 75
1038 1039 99793 99849 81
1158 1163 111310 111783 89
1240 1253 119156 120340 95
1233 1277 118532 122615 95
1275 1369 122527 131351 100
62 62 6007 6011 6
62 62 6007 6011 7
146 146 14013 14016 17
146 146 14014 14018 16
235 235 22534 22538 24
235 235 22534 22537 24
319 319 30691 30694 33
319 319 30690 30693 32
404 404 38779 38782 44
404 404 38778 38782 44
487 487 46753 46756 52
487 487 46752 46755 52
578 578 55583 55586 62
579 579 55583 55586 62
659 659 63322 63325 67
659 659 63323 63326 66
744 744 71463 71466 72
744 744 71464 71467 72
826 826 79403 79407 75
826 826 79402 79406 75
913 913 87760 87763 76
913 913 87750 87755 76
1004 1004 96440 96466 78
1000 1000 96072 96102 78
1076 1078 103396 103561 84
1078 1079 103579 103710 84
1161 1166 111591 112014 89
1158 1163 111255 111745 89
1222 1232 117440 118349 94
1220 1230 117236 118186 93
1260 1275 121085 122527 96
1254 1270 120483 122042 97
1254 1294 120529 124241 97
1256 1295 120732 124386 97
1222 1285 117397 123366 95
1243 1302 119450 124968 96
1256 1332 120724 127828 97
1192 1275 114571 122326 93
1258 1345 120889 128990 97
1245 1333 119631 127888 97
##### 12 switches #####
tx rx pkt_out pkt_in cpu
114 114 11033 11036 14
228 228 22046 22050 25
342 342 33029 33032 37
456 456 44083 44087 50
573 573 55289 55292 66
687 687 66268 66272 77
804 804 77583 77586 84
918 918 88556 88559 86
1038 1038 100072 100077 86
1146 1147 110572 110638 89
1237 1242 119335 119763 94
1270 1281 122438 123525 97
1294 1315 124773 126802 98
1296 1330 125033 128167 99
1290 1335 124429 128637 99
1292 1349 124578 129977 99
1268 1326 122272 127685 100
52 52 5007 5010 6
52 52 5006 5010 7
156 156 15029 15033 17
156 156 15030 15033 17
249 250 24060 24063 28
249 249 24060 24064 28
342 342 33031 33034 37
342 342 33027 33031 36
447 447 43135 43138 49
447 447 43139 43142 49
540 540 52116 52119 61
540 540 52124 52127 60
644 644 62157 62160 73
644 644 62156 62159 73
741 741 71474 71477 81
0 0 21 26 1
843 843 81360 81364 85
843 843 81357 81360 85
935 935 90153 90156 86
934 934 90151 90154 87
998 1003 96283 96720 91
1037 1037 100066 100069 85
1137 1137 109645 109681 88
1137 1137 109620 109660 89
1210 1212 116680 116928 93
1209 1212 116597 116857 93
1257 1265 121261 121960 96
1251 1259 120677 121439 95
1283 1300 123725 125330 98
1280 1297 123435 124996 98
1291 1315 124463 126736 98
1293 1317 124738 126976 99
1285 1320 123958 127178 99
1290 1324 124447 127630 99
1293 1339 124684 128969 99
1279 1328 123378 127919 99
1299 1352 125266 130254 99
1298 1352 125181 130227 99
1302 1366 125522 131524 99
1296 1361 125006 131024 99
##### 17 switches #####
tx rx pkt_out pkt_in cpu
109 109 10510 10513 13
218 218 21017 21020 25
326 327 31523 31527 36
435 435 42031 42034 48
545 545 52647 52650 63
652 652 63041 63044 77
777 777 75023 75027 87
888 888 85740 85743 90
996 996 96186 96189 90
1110 1110 107172 107177 89
1206 1207 116483 116534 93
1269 1274 122588 122964 97
1292 1303 124762 125751 99
1294 1312 124958 126623 100
47 47 4505 4508 4
47 47 4505 4508 4
124 124 12021 12024 14
124 124 12006 12009 14
202 202 19513 19516 22
202 202 19513 19517 22
280 280 27038 27041 31
280 280 27037 27040 31
358 358 34573 34576 38
358 358 34573 34577 39
435 435 42030 42033 48
435 435 42032 42035 48
513 513 49520 49523 58
513 513 49520 49523 58
591 591 57052 57055 69
591 591 57122 57126 69
670 670 64675 64679 79
670 670 64676 64679 79
747 747 72138 72141 85
747 747 72138 72141 85
826 826 79811 79814 88
826 826 79811 79814 88
903 903 87234 87237 90
903 903 87239 87242 90
983 983 94967 94970 90
983 983 94970 94973 90
1057 1057 102075 102079 89
1057 1057 102084 102087 89
1142 1142 110277 110282 90
1142 1142 110265 110274 90
1205 1206 116382 116441 93
1207 1208 116577 116620 93
1258 1260 121430 121675 96
1260 1263 121671 121904 96
